Mês/Ano,Região,Estado,Produção Etanol Hidratado(m³),Produção Etanol Anidro (m³)
08/2022,NORDESTE,Pernambuco,4107,1392
08/2022,NORDESTE,Piauí,1726,7466
08/2022,NORDESTE,Rio Grande do Norte,5188,1708
08/2022,NORTE,Amazonas,772,
08/2022,NORTE,Pará,2054,7130
08/2022,NORTE,Tocantins,14012,16286
08/2022,SUDESTE,Espírito Santo,1695,15232
08/2022,SUDESTE,Minas Gerais,290160,213878
08/2022,SUDESTE,Rio de Janeiro,19605,
08/2022,SUDESTE,São Paulo,1012178,908846
08/2022,SUL,Paraná,60588,79028
07/2022,CENTRO OESTE,Goiás,648001,192068
07/2022,CENTRO OESTE,Mato Grosso,279487,203092
07/2022,CENTRO OESTE,Mato Grosso do Sul,312056,174244
07/2022,NORDESTE,Bahia,34368,22037
07/2022,NORDESTE,Maranhão,2892,21399
07/2022,NORDESTE,Paraíba,2378,3665
07/2022,NORDESTE,Piauí,4409,4019
07/2022,NORTE,Pará,2126,6016
07/2022,NORTE,Tocantins,17102,13902
07/2022,SUDESTE,Espírito Santo,2598,16917
07/2022,SUDESTE,Minas Gerais,277944,216124
07/2022,SUDESTE,Rio de Janeiro,26801,
07/2022,SUDESTE,São Paulo,1145811,982415
07/2022,SUL,Paraná,91956,103313
06/2022,CENTRO OESTE,Goiás,558778,149066
06/2022,CENTRO OESTE,Mato Grosso,249094,187190
06/2022,CENTRO OESTE,Mato Grosso do Sul,249786,144598
06/2022,NORDESTE,Bahia,31351,11969
06/2022,NORDESTE,Maranhão,1474,18081
06/2022,NORDESTE,Piauí,1910,
06/2022,NORTE,Pará,1617,5306
06/2022,NORTE,Tocantins,19435,12549
06/2022,SUDESTE,Espírito Santo,3247,15654
06/2022,SUDESTE,Minas Gerais,255247,180970
06/2022,SUDESTE,Rio de Janeiro,27385,
06/2022,SUDESTE,São Paulo,931671,810273
06/2022,SUL,Paraná,63107,53569
06/2022,SUL,Rio Grande do Sul,1,
05/2022,CENTRO OESTE,Goiás,523939,183521
05/2022,CENTRO OESTE,Mato Grosso,285142,124887
05/2022,CENTRO OESTE,Mato Grosso do Sul,242113,106652
05/2022,NORDESTE,Bahia,23907,8192
05/2022,NORDESTE,Maranhão,1016,18754
05/2022,NORDESTE,Pernambuco,88,
05/2022,NORTE,Pará,1208,711
05/2022,NORTE,Tocantins,10540,15450
05/2022,SUDESTE,Espírito Santo,2801,13714
05/2022,SUDESTE,Minas Gerais,249993,139097
05/2022,SUDESTE,Rio de Janeiro,18356,
05/2022,SUDESTE,São Paulo,982010,707557
05/2022,SUL,Paraná,74890,68568
05/2022,SUL,Rio Grande do Sul,1,
04/2022,CENTRO OESTE,Goiás,266133,35953
04/2022,CENTRO OESTE,Mato Grosso,229911,44761
04/2022,CENTRO OESTE,Mato Grosso do Sul,153914,26441
04/2022,NORDESTE,Alagoas,3252,
04/2022,NORDESTE,Bahia,7754,452
04/2022,NORDESTE,Maranhão,5,3387
04/2022,NORDESTE,Paraíba,4028,
04/2022,NORDESTE,Pernambuco,3032,1119
04/2022,NORTE,Tocantins,18001,378
04/2022,SUDESTE,Espírito Santo,1572,5752
04/2022,SUDESTE,Minas Gerais,132726,37895
04/2022,SUDESTE,Rio de Janeiro,1635,
04/2022,SUDESTE,São Paulo,354980,175177
04/2022,SUL,Paraná,19262,18283
03/2022,CENTRO OESTE,Goiás,63604,899
03/2022,CENTRO OESTE,Mato Grosso,183684,78150
03/2022,CENTRO OESTE,Mato Grosso do Sul,27231,11790
03/2022,NORDESTE,Alagoas,31852,7606
03/2022,NORDESTE,Paraíba,10681,
03/2022,NORDESTE,Pernambuco,10149,5490
03/2022,NORDESTE,Sergipe,1542,
03/2022,NORTE,Tocantins,4438,
03/2022,SUDESTE,Minas Gerais,6160,
03/2022,SUDESTE,São Paulo,5254,
03/2022,SUL,Paraná,692,3170
02/2022,CENTRO OESTE,Goiás,36997,2882
02/2022,CENTRO OESTE,Mato Grosso,173170,69473
02/2022,NORDESTE,Alagoas,33547,24428
02/2022,NORDESTE,Paraíba,4202,6956
02/2022,NORDESTE,Pernambuco,31143,12893
02/2022,NORDESTE,Sergipe,9254,2453
02/2022,SUDESTE,Minas Gerais,655,
02/2022,SUDESTE,São Paulo,9960,40
02/2022,SUL,Paraná,641,2328
01/2022,CENTRO OESTE,Goiás,25726,6303
01/2022,CENTRO OESTE,Mato Grosso,194898,75859
01/2022,NORDESTE,Alagoas,34929,35204
01/2022,NORDESTE,Paraíba,11508,24220
01/2022,NORDESTE,Pernambuco,37269,17960
01/2022,NORDESTE,Rio Grande do Norte,7345,1396
01/2022,NORDESTE,Sergipe,14470,4088
01/2022,NORTE,Amazonas,1310,
01/2022,SUDESTE,Minas Gerais,3,
01/2022,SUDESTE,São Paulo,10328,3002
01/2022,SUL,Paraná,2295,1416
01/2022,SUL,Rio Grande do Sul,1,
12/2021,CENTRO OESTE,Goiás,56261,10776
12/2021,CENTRO OESTE,Mato Grosso,198026,72725
12/2021,CENTRO OESTE,Mato Grosso do Sul,1644,83
12/2021,NORDESTE,Alagoas,39152,33758
12/2021,NORDESTE,Bahia,515,1112
12/2021,NORDESTE,Maranhão,,5696
12/2021,NORDESTE,Paraíba,18141,37760
12/2021,NORDESTE,Pernambuco,44666,19850
12/2021,NORDESTE,Piauí,3159,
12/2021,NORDESTE,Rio Grande do Norte,14336,2752
12/2021,NORDESTE,Sergipe,14765,5162
12/2021,NORTE,Amazonas,1180,
12/2021,NORTE,Pará,334,5416
12/2021,SUDESTE,Espírito Santo,438,208
12/2021,SUDESTE,Minas Gerais,2382,4756
12/2021,SUDESTE,Rio de Janeiro,182,
12/2021,SUDESTE,São Paulo,20655,9782
12/2021,SUL,Paraná,2786,6747
11/2021,CENTRO OESTE,Goiás,164497,45687
11/2021,CENTRO OESTE,Mato Grosso,221630,87697
